2025-09-02 23:56:31,982: Train ICNN with JFB on CT
2025-09-02 23:56:31,982: The model has 26499 parameters
2025-09-02 23:56:31,983: Parameters:
2025-09-02 23:56:31,983: load_pretrain: False, load_parameter_fitting: False, score_sigma: 0.015
2025-09-02 23:56:31,983: pretrain_epochs: 0, pretrain_lr: 0.001, epochs: 4
2025-09-02 23:56:31,983: adabelief: True, fitting_lr: 0.1, lr: 0.005
2025-09-02 23:56:31,983: jacobian_regularization: False, jacobian_regularization_parameter: 1e-09, lmbd: 1.0
2025-09-02 23:58:30,389: maxiter hit in iteration 1
2025-09-03 00:00:22,499: maxiter hit in iteration 2
2025-09-03 00:05:36,550: Step 10, Train PSNR 23.425801467895507
2025-09-03 00:07:24,497: Step 20, Train PSNR 27.82804126739502
2025-09-03 00:09:02,727: Step 30, Train PSNR 29.47794679005941
2025-09-03 00:10:45,200: Step 40, Train PSNR 30.433944940567017
2025-09-03 00:12:20,576: Step 50, Train PSNR 31.01991725921631
2025-09-03 00:14:03,586: Step 60, Train PSNR 31.381435712178547
2025-09-03 00:15:38,953: Step 70, Train PSNR 31.618947546822685
2025-09-03 00:17:25,172: Step 80, Train PSNR 31.728374743461607
2025-09-03 00:19:08,671: Step 90, Train PSNR 31.89930191040039
2025-09-03 00:20:53,447: Step 100, Train PSNR 32.00646484375
2025-09-03 00:22:37,730: Step 110, Train PSNR 32.10928923866965
2025-09-03 00:24:20,174: Step 120, Train PSNR 32.25959254900614
2025-09-03 00:26:02,971: Step 130, Train PSNR 32.316783024714546
2025-09-03 00:27:49,587: Step 140, Train PSNR 32.362347793579104
2025-09-03 00:29:40,794: Step 150, Train PSNR 32.41029066721598
2025-09-03 00:31:28,582: Step 160, Train PSNR 32.473907148838045
2025-09-03 00:33:12,721: Step 170, Train PSNR 32.50090623743394
2025-09-03 00:35:02,732: Step 180, Train PSNR 32.509110588497585
2025-09-03 00:36:56,066: Step 190, Train PSNR 32.53308501996492
2025-09-03 00:38:46,672: Step 200, Train PSNR 32.56863384246826
2025-09-03 00:40:37,621: Step 210, Train PSNR 32.61174349103655
2025-09-03 00:42:34,713: Step 220, Train PSNR 32.6212930505926
2025-09-03 00:44:21,220: Step 230, Train PSNR 32.63614137069039
2025-09-03 00:46:20,082: Step 240, Train PSNR 32.664986562728885
2025-09-03 00:48:19,021: Step 250, Train PSNR 32.68175817108154
2025-09-03 00:50:13,943: Step 260, Train PSNR 32.69010806450477
2025-09-03 00:52:11,131: Step 270, Train PSNR 32.6976870642768
2025-09-03 00:54:09,082: Step 280, Train PSNR 32.71457365580967
2025-09-03 00:56:07,857: Step 290, Train PSNR 32.73190251712141
2025-09-03 00:58:14,130: Step 300, Train PSNR 32.75434976577759
2025-09-03 01:00:17,509: Step 310, Train PSNR 32.773900708844586
2025-09-03 01:02:14,478: Step 320, Train PSNR 32.80275380015373
2025-09-03 01:04:17,942: Step 330, Train PSNR 32.80823978655266
2025-09-03 01:06:19,157: Step 340, Train PSNR 32.8119722366333
2025-09-03 01:08:24,076: Step 350, Train PSNR 32.81955275399344
2025-09-03 01:10:25,789: Step 360, Train PSNR 32.82632873323229
2025-09-03 01:12:20,766: Step 370, Train PSNR 32.84271842337943
2025-09-03 01:14:25,839: Step 380, Train PSNR 32.84847352379247
2025-09-03 01:16:30,426: Step 390, Train PSNR 32.854732156411195
2025-09-03 01:17:44,844: [Epoch 1] Train Loss: 4.01E+01, PSNR: 32.86
2025-09-03 01:27:02,686: [Epoch 1] Val Loss: 3.29E+01, PSNR: 32.86
